12/2011;246.70 ;0.52 ;0.56 ;74.70 ;171.70 ;117.20 ;85.30 ;106.6 ;160.97 ;90.90;117.50 ;86.50 ;121.00 ;121.30 ;96.90 ;120.10
01/2012;250.82 ;0.46 ;0.55 ;63.60 ;77.20 ;63.70 ;87.90 ;82.2 ;157.27 ;87.30;88.90 ;86.30 ;99.70 ;92.60 ;100.60 ;99.70
02/2012;251.04 ;-0.01 ;-0.03 ;64.30 ;73.60 ;55.10 ;79.10 ;88.1 ;157.92 ;87.20;82.40 ;86.80 ;97.30 ;76.00 ;84.70 ;97.50
03/2012;234.14 ;0.15 ;0.12 ;70.70 ;106.70 ;68.90 ;95.40 ;91.0 ;159.70 ;85.90;91.60 ;93.10 ;106.40 ;85.00 ;95.00 ;106.90
04/2012;235.36 ;0.30 ;0.38 ;65.50 ;104.10 ;69.20 ;90.10 ;98.5 ;163.76 ;89.20;90.30 ;92.60 ;105.90 ;81.90 ;84.00 ;106.20
05/2012;246.39 ;0.45 ;0.64 ;73.20 ;76.00 ;69.20 ;92.30 ;111.0 ;167.12 ;89.70;93.60 ;91.60 ;103.80 ;91.20 ;101.10 ;104.30
06/2012;244.03 ;0.17 ;0.45 ;73.30 ;74.60 ;70.70 ;101.60 ;104.6 ;167.17 ;91.00;91.70 ;91.50 ;105.00 ;83.30 ;106.30 ;105.40
07/2012;258.66 ;0.61 ;0.70 ;72.90 ;70.30 ;72.40 ;105.90 ;106.0 ;168.92 ;88.60;94.60 ;100.00 ;105.20 ;88.70 ;106.00 ;105.20
08/2012;263.90 ;0.31 ;0.36 ;77.90 ;69.80 ;78.70 ;113.80 ;104.9 ;167.36 ;89.60;96.10 ;103.10 ;104.90 ;92.20 ;123.60 ;105.30
09/2012;250.13 ;0.72 ;0.80 ;75.30 ;73.90 ;67.20 ;106.10 ;103.2 ;165.81 ;89.90;92.30 ;97.00 ;105.60 ;83.80 ;85.30 ;105.80
10/2012;251.12 ;0.88 ;0.94 ;75.00 ;78.30 ;77.60 ;111.70 ;103.9 ;168.77 ;90.60;95.70 ;100.10 ;106.60 ;90.70 ;118.90 ;106.80
11/2012;237.92 ;0.43 ;0.47 ;74.00 ;72.10 ;76.50 ;95.80 ;99.4 ;167.13 ;93.80;94.10 ;93.10 ;104.60 ;90.40 ;101.00 ;104.60
12/2012;263.17 ;0.81 ;0.83 ;85.00 ;82.70 ;130.50 ;79.30 ;88.2 ;167.22 ;91.00;119.60 ;89.00 ;122.00 ;128.00 ;108.30 ;121.90
01/2013;287.94 ;0.89 ;0.82 ;77.30 ;82.60 ;79.20 ;99.60 ;104.9 ;171.56 ;89.70;94.80 ;90.50 ;99.70 ;102.30 ;116.10 ;99.50
02/2013;286.34 ;0.41 ;0.28 ;74.50 ;76.00 ;62.70 ;85.50 ;104.3 ;170.03 ;92.40;82.60 ;85.70 ;92.50 ;78.50 ;94.50 ;92.60
03/2013;287.78 ;0.52 ;0.65 ;74.80 ;91.00 ;89.20 ;95.00 ;108.0 ;171.85 ;92.40;96.20 ;103.20 ;108.00 ;87.30 ;111.70 ;108.30
04/2013;284.22 ;0.31 ;0.30 ;77.70 ;90.70 ;67.70 ;102.30 ;107.1 ;170.92 ;92.80;90.10 ;102.40 ;94.80 ;87.50 ;110.60 ;95.50
05/2013;293.96 ;0.57 ;0.56 ;81.70 ;102.50 ;75.00 ;101.60 ;104.6 ;171.06 ;91.20;98.70 ;104.20 ;102.20 ;96.20 ;105.90 ;102.90
06/2013;289.62 ;0.05 ;0.03 ;80.70 ;87.40 ;70.50 ;103.90 ;104.8 ;170.66 ;93.10;93.20 ;104.40 ;97.70 ;87.50 ;107.40 ;98.00
07/2013;269.34 ;-0.23 ;-0.43 ;87.00 ;90.40 ;77.50 ;108.30 ;105.2 ;174.90 ;96.60;100.70 ;106.90 ;104.20 ;101.80 ;111.60 ;104.00
08/2013;258.45 ;0.41 ;0.45 ;89.60 ;105.70 ;81.10 ;110.40 ;103.4 ;173.68 ;94.90;101.60 ;99.80 ;106.20 ;105.40 ;109.40 ;106.40
09/2013;257.99 ;0.33 ;0.17 ;84.60 ;102.90 ;79.80 ;104.20 ;103.2 ;174.31 ;96.80;96.20 ;103.70 ;101.20 ;95.00 ;104.30 ;101.20
10/2013;262.47 ;0.92 ;0.93 ;89.70 ;107.30 ;90.90 ;109.60 ;102.5 ;173.31 ;96.90;100.20 ;101.60 ;102.80 ;103.50 ;107.40 ;102.80
11/2013;254.44 ;0.54 ;0.51 ;89.30 ;102.30 ;91.10 ;101.30 ;102.9 ;175.82 ;99.50;101.10 ;93.90 ;105.90 ;102.90 ;108.20 ;106.10
12/2013;274.67 ;0.75 ;0.55 ;118.20 ;86.80 ;150.50 ;90.60 ;112.1 ;180.50 ;98.10;128.00 ;95.00 ;123.70 ;133.80 ;103.20 ;123.80
01/2014;273.84 ;0.61 ;0.56 ;96.80 ;90.40 ;90.70 ;98.60 ;102.6 ;173.76 ;101.80;101.80 ;91.00 ;105.70 ;108.70 ;111.50 ;105.60
02/2014;275.32 ;0.39 ;0.40 ;89.60 ;85.30 ;78.90 ;96.20 ;107.8 ;175.07 ;105.20;91.10 ;91.80 ;98.00 ;87.50 ;88.80 ;98.30
03/2014;310.04 ;0.89 ;0.96 ;95.10 ;79.50 ;80.10 ;90.60 ;106.0 ;175.73 ;100.50;97.30 ;95.80 ;106.90 ;91.80 ;94.10 ;107.20
04/2014;293.27 ;0.84 ;0.89 ;94.60 ;81.80 ;94.30 ;93.20 ;111.4 ;177.11 ;100.90;97.50 ;98.20 ;105.00 ;91.10 ;104.00 ;105.30
05/2014;296.77 ;0.41 ;0.64 ;106.10 ;102.80 ;88.40 ;102.30 ;111.7 ;177.27 ;100.90;104.00 ;103.00 ;102.80 ;106.00 ;106.90 ;103.10
06/2014;295.12 ;0.27 ;0.27 ;98.60 ;103.70 ;93.10 ;96.20 ;112.2 ;177.93 ;100.00;92.00 ;95.40 ;89.80 ;88.60 ;91.40 ;89.60
07/2014;280.93 ;0.02 ;0.10 ;101.80 ;104.60 ;100.80 ;106.50 ;108.9 ;178.82 ;98.90;97.00 ;104.40 ;93.40 ;93.90 ;102.00 ;92.90
08/2014;276.18 ;0.31 ;0.14 ;105.30 ;103.50 ;100.10 ;110.80 ;113.1 ;179.88 ;97.90;97.20 ;99.30 ;96.60 ;93.20 ;97.00 ;96.40
09/2014;279.95 ;0.16 ;0.36 ;99.20 ;94.20 ;93.80 ;108.50 ;113.8 ;177.06 ;97.80;94.90 ;111.30 ;91.60 ;96.00 ;100.80 ;91.30
10/2014;287.46 ;0.78 ;0.70 ;102.30 ;96.10 ;106.60 ;114.10 ;115.1 ;177.67 ;99.50;104.50 ;110.60 ;107.10 ;103.60 ;106.20 ;107.30
11/2014;295.79 ;1.21 ;1.27 ;97.60 ;124.10 ;115.60 ;96.50 ;116.4 ;177.85 ;100.00;101.60 ;102.20 ;93.40 ;111.50 ;101.80 ;93.50
12/2014;301.21 ;1.11 ;1.13 ;112.80 ;134.00 ;157.50 ;86.30 ;110.0 ;175.82 ;98.80;121.10 ;97.00 ;109.80 ;128.10 ;95.40 ;109.60
01/2015;323.73 ;1.23 ;1.39 ;98.40 ;118.20 ;96.90 ;101.20 ;105.1 ;178.35 ;99.10;96.50 ;96.00 ;91.20 ;106.50 ;94.20 ;90.90
02/2015;325.64 ;1.41 ;1.27 ;88.70 ;113.90 ;82.30 ;92.50 ;111.9 ;174.56 ;97.50;81.40 ;90.90 ;82.60 ;75.80 ;73.10 ;82.30
03/2015;323.48 ;1.43 ;1.97 ;102.70 ;137.30 ;100.70 ;106.30 ;115.2 ;174.73 ;97.00;90.30 ;98.50 ;88.20 ;84.60 ;85.70 ;88.20
04/2015;327.69 ;0.55 ;0.55 ;98.40 ;102.90 ;104.70 ;96.80 ;111.9 ;172.77 ;94.70;86.50 ;91.00 ;88.80 ;74.50 ;77.10 ;88.70
05/2015;347.03 ;0.58 ;0.79 ;105.30 ;109.80 ;103.80 ;99.00 ;113.8 ;174.73 ;94.10;91.00 ;95.50 ;84.70 ;85.60 ;79.00 ;84.50
06/2015;329.65 ;0.21 ;0.25 ;102.50 ;100.10 ;96.60 ;100.70 ;113.4 ;173.94 ;93.50;85.00 ;97.40 ;80.00 ;74.30 ;79.20 ;79.60
07/2015;327.47 ;0.85 ;0.82 ;101.50 ;99.40 ;104.20 ;98.40 ;113.6 ;169.19 ;93.60;88.40 ;100.20 ;85.50 ;77.70 ;80.40 ;84.80
08/2015;320.69 ;0.23 ;0.19 ;103.60 ;99.80 ;95.20 ;104.00 ;112.4 ;172.52 ;95.40;86.70 ;101.80 ;86.10 ;72.90 ;74.60 ;86.20
09/2015;311.20 ;0.67 ;0.73 ;97.20 ;99.10 ;87.70 ;96.00 ;111.7 ;171.61 ;95.70;83.50 ;96.80 ;84.10 ;73.10 ;69.60 ;84.20
10/2015;310.73 ;1.18 ;1.18 ;100.10 ;92.00 ;102.00 ;90.60 ;110.5 ;172.01 ;94.10;90.60 ;101.10 ;91.90 ;80.70 ;67.70 ;91.60
11/2015;321.85 ;1.44 ;1.69 ;96.40 ;104.00 ;114.50 ;81.70 ;108.5 ;172.47 ;92.40;90.00 ;94.20 ;84.40 ;88.60 ;66.50 ;84.40
12/2015;335.87 ;0.80 ;0.75 ;112.70 ;90.70 ;169.60 ;75.80 ;110.1 ;172.44 ;91.80;107.90 ;96.80 ;101.80 ;91.60 ;66.60 ;101.40
01/2016;388.45 ;1.20 ;1.31 ;94.90 ;79.30 ;92.50 ;74.50 ;95.9 ;168.36 ;90.00;83.30 ;90.00 ;82.70 ;75.80 ;65.00 ;82.20
02/2016;371.80 ;0.81 ;0.68 ;93.80 ;75.40 ;75.50 ;71.30 ;107.4 ;168.64 ;88.90;75.60 ;87.60 ;76.40 ;68.80 ;64.10 ;76.10
03/2016;378.45 ;0.56 ;0.50 ;103.60 ;74.10 ;99.80 ;84.40 ;103.5 ;166.99 ;89.50;82.60 ;89.90 ;84.10 ;72.40 ;70.40 ;84.10
04/2016;382.16 ;0.53 ;0.57 ;95.20 ;73.10 ;94.20 ;78.40 ;113.3 ;168.85 ;88.60;79.00 ;86.80 ;80.20 ;66.40 ;65.90 ;80.30
05/2016;385.24 ;0.28 ;0.35 ;98.10 ;71.40 ;88.50 ;76.80 ;114.5 ;170.27 ;89.00;78.70 ;86.70 ;78.30 ;67.00 ;67.30 ;77.40
06/2016;421.46 ;0.39 ;0.56 ;97.00 ;53.70 ;89.10 ;85.00 ;112.4 ;170.03 ;88.60;76.20 ;87.70 ;75.40 ;61.20 ;70.70 ;74.70
07/2016;424.47 ;0.81 ;1.03 ;94.00 ;56.10 ;100.20 ;83.60 ;117.4 ;167.83 ;85.90;79.80 ;92.20 ;79.50 ;63.90 ;62.20 ;78.30
08/2016;411.12 ;0.29 ;0.25 ;97.20 ;56.10 ;89.30 ;89.90 ;112.6 ;169.51 ;85.40;77.90 ;87.80 ;79.20 ;63.00 ;63.10 ;78.40
09/2016;393.39 ;0.18 ;0.14 ;91.00 ;50.00 ;86.70 ;83.00 ;108.3 ;169.83 ;83.80;77.10 ;88.20 ;81.30 ;60.80 ;62.20 ;80.70
10/2016;389.44 ;0.37 ;0.28 ;91.90 ;49.90 ;104.70 ;80.00 ;105.7 ;168.90 ;82.90;81.10 ;89.10 ;84.90 ;64.50 ;56.30 ;84.20
11/2016;387.56 ;-0.31 ;-0.40 ;91.90 ;55.80 ;117.40 ;80.10 ;97.2 ;166.67 ;81.70;85.20 ;84.30 ;83.70 ;80.90 ;66.70 ;83.00
12/2016;386.84 ;0.05 ;-0.03 ;107.60 ;58.50 ;161.80 ;79.60 ;103.5 ;166.86 ;80.60;100.90 ;89.10 ;99.70 ;79.40 ;68.60 ;98.70
01/2017;385.84 ;0.20 ;0.08 ;91.10 ;42.40 ;79.60 ;75.60 ;107.3 ;163.94 ;82.60;76.70 ;66.00 ;82.90 ;67.00 ;46.10 ;83.40
02/2017;380.18 ;-0.39 ;-0.44 ;84.40 ;38.00 ;69.50 ;66.20 ;114.9 ;172.78 ;86.20;70.20 ;68.70 ;76.80 ;55.00 ;45.30 ;77.50
03/2017;388.31 ;0.27 ;0.42 ;101.90 ;47.60 ;76.90 ;86.80 ;109.0 ;173.26 ;82.50;69.40 ;73.90 ;62.80 ;72.20 ;59.50 ;62.00
04/2017;388.83 ;0.15 ;0.03 ;90.50 ;51.10 ;85.50 ;70.10 ;110.7 ;174.96 ;83.30;70.40 ;67.80 ;69.80 ;63.40 ;56.00 ;69.50
05/2017;392.72 ;0.16 ;0.18 ;98.50 ;51.00 ;83.70 ;76.20 ;112.3 ;171.47 ;83.70;73.00 ;73.00 ;67.50 ;74.50 ;63.40 ;66.90
06/2017;390.10 ;-0.04 ;-0.12 ;96.80 ;51.50 ;85.40 ;70.30 ;114.1 ;171.82 ;82.80;71.80 ;71.40 ;66.00 ;68.50 ;65.50 ;65.30
07/2017;386.67 ;0.38 ;0.25 ;96.10 ;51.20 ;87.20 ;77.60 ;114.9 ;180.47 ;83.40;72.20 ;65.00 ;68.80 ;68.80 ;54.10 ;67.00
08/2017;386.81 ;-0.03 ;-0.27 ;105.90 ;55.00 ;79.20 ;79.90 ;113.8 ;171.10 ;85.10;71.40 ;65.30 ;68.10 ;73.70 ;59.00 ;67.30
09/2017;372.99 ;0.04 ;0.03 ;101.80 ;48.80 ;81.20 ;74.50 ;116.2 ;170.81 ;82.60;71.60 ;66.90 ;71.30 ;67.10 ;52.80 ;70.60
10/2017;362.58 ;1.52 ;1.50 ;97.50 ;45.90 ;89.70 ;76.30 ;117.4 ;170.80 ;82.00;72.70 ;64.90 ;70.90 ;75.70 ;57.90 ;70.40
11/2017;361.96 ;0.96 ;0.98 ;98.50 ;51.80 ;103.90 ;74.90 ;114.8 ;171.18 ;82.90;80.40 ;63.10 ;79.80 ;89.20 ;56.30 ;79.90
12/2017;360.70 ;0.48 ;0.47 ;108.40 ;51.20 ;135.50 ;64.80 ;112.3 ;169.42 ;83.50;92.80 ;64.70 ;92.70 ;90.80 ;52.10 ;92.90
01/2018;362.23 ;0.05 ;-0.04 ;97.00 ;46.00 ;82.80 ;72.70 ;109.1 ;170.91 ;82.30;69.90 ;59.90 ;67.40 ;78.60 ;60.80 ;67.20
02/2018;364.01 ;0.07 ;-0.03 ;88.30 ;40.60 ;73.80 ;64.40 ;112.0 ;171.99 ;84.00;61.80 ;57.10 ;60.60 ;62.20 ;53.20 ;60.20
03/2018;360.43 ;0.02 ;-0.07 ;105.50 ;47.90 ;95.70 ;72.10 ;112.2 ;173.09 ;83.70;72.20 ;63.80 ;68.20 ;76.30 ;62.60 ;67.90
04/2018;365.81 ;-0.18 ;-0.27 ;101.20 ;47.30 ;84.70 ;70.00 ;111.9 ;173.86 ;85.40;71.40 ;65.90 ;68.00 ;69.80 ;64.30 ;68.00
05/2018;366.65 ;0.53 ;0.57 ;104.40 ;51.40 ;86.90 ;72.20 ;95.8 ;166.52 ;80.70;74.40 ;62.70 ;70.70 ;75.40 ;59.90 ;70.60
06/2018;365.81 ;1.25 ;1.16 ;105.50 ;48.10 ;97.00 ;70.50 ;111.8 ;171.24 ;82.40;72.40 ;56.80 ;68.00 ;72.60 ;56.40 ;68.10
07/2018;366.38 ;-0.05 ;-0.03 ;107.00 ;48.20 ;101.60 ;71.80 ;110.2 ;173.44 ;83.40;72.70 ;60.90 ;69.20 ;68.40 ;62.10 ;68.90
08/2018;362.47 ;0.30 ;0.39 ;112.10 ;53.20 ;97.10 ;79.40 ;109.8 ;173.63 ;82.40;75.90 ;62.10 ;71.40 ;79.40 ;69.20 ;71.30
09/2018;354.11 ;0.49 ;0.41 ;99.90 ;47.40 ;96.70 ;74.20 ;109.9 ;174.99 ;81.40;71.30 ;64.10 ;67.10 ;71.00 ;61.80 ;66.70
10/2018;357.72 ;0.55 ;0.54 ;104.50 ;48.30 ;108.50 ;76.90 ;107.0 ;173.09 ;81.10;74.80 ;66.20 ;71.10 ;72.00 ;66.80 ;70.90
11/2018;368.06 ;0.12 ;0.34 ;105.60 ;53.60 ;154.80 ;75.50 ;99.2 ;172.95 ;80.60;85.90 ;59.90 ;80.10 ;97.30 ;67.10 ;80.60
12/2018;388.86 ;-0.03 ;-0.10 ;115.80 ;55.70 ;169.90 ;65.80 ;112.7 ;177.29 ;81.30;94.10 ;62.50 ;91.00 ;86.10 ;62.70 ;92.10
01/2019;398.23 ;-0.17 ;-0.09 ;101.10 ;47.90 ;113.20 ;73.00 ;112.8 ;174.57 ;81.40;72.90 ;59.90 ;69.10 ;77.50 ;66.50 ;68.50
02/2019;416.40 ;0.87 ;0.88 ;96.80 ;43.40 ;96.90 ;67.10 ;110.8 ;173.19 ;79.80;66.50 ;56.50 ;63.80 ;63.50 ;64.60 ;63.70
03/2019;433.43 ;0.12 ;0.32 ;106.70 ;46.10 ;110.90 ;68.70 ;114.0 ;175.30 ;80.30;72.40 ;63.80 ;66.20 ;68.30 ;64.70 ;65.60
04/2019;445.28 ;0.62 ;0.58 ;100.60 ;53.00 ;121.60 ;70.40 ;112.0 ;174.34 ;80.30;69.60 ;60.50 ;61.90 ;70.40 ;63.50 ;61.30
05/2019;425.35 ;0.48 ;0.36 ;112.90 ;49.80 ;114.70 ;76.00 ;109.4 ;177.47 ;79.40;73.20 ;61.20 ;67.70 ;71.20 ;68.70 ;67.20
06/2019;421.65 ;-0.10 ;-0.07 ;108.10 ;43.00 ;115.60 ;69.70 ;109.4 ;178.01 ;80.90;71.20 ;57.20 ;66.40 ;63.20 ;64.70 ;66.40
07/2019;420.55 ;-0.22 ;-0.18 ;111.20 ;52.20 ;118.50 ;77.70 ;110.7 ;179.25 ;81.00;71.00 ;59.40 ;63.70 ;67.20 ;71.70 ;63.30
08/2019;399.40 ;0.11 ;0.19 ;113.30 ;53.80 ;119.20 ;77.00 ;110.6 ;176.34 ;79.90;73.60 ;61.60 ;66.20 ;74.40 ;72.70 ;65.90
09/2019;391.31 ;0.41 ;0.37 ;106.00 ;53.90 ;114.40 ;78.20 ;110.6 ;177.31 ;80.90;72.80 ;59.70 ;67.30 ;75.40 ;70.70 ;67.30
10/2019;395.70 ;0.07 ;-0.02 ;109.70 ;58.90 ;128.80 ;87.50 ;116.6 ;179.81 ;81.90;77.20 ;62.40 ;69.80 ;82.20 ;72.80 ;69.90
11/2019;400.16 ;0.70 ;0.84 ;107.90 ;66.40 ;163.10 ;80.40 ;111.1 ;180.01 ;80.30;87.30 ;61.70 ;77.30 ;106.90 ;69.60 ;78.00
12/2019;454.75 ;1.40 ;1.62 ;111.10 ;55.20 ;184.10 ;67.90 ;109.0 ;178.48 ;78.60;91.80 ;61.50 ;80.30 ;92.40 ;67.30 ;81.50
01/2020;455.08 ;0.10 ;0.06 ;105.20 ;55.80 ;130.40 ;74.60 ;110.9 ;179.90 ;79.20;73.00 ;54.50 ;65.30 ;82.50 ;75.70 ;65.50
02/2020;448.62 ;0.18 ;0.05 ;98.60 ;50.00 ;110.60 ;66.80 ;111.0 ;180.31 ;77.90;68.30 ;54.30 ;61.60 ;73.20 ;59.80 ;61.10
03/2020;456.18 ;-0.74 ;-0.67 ;109.20 ;47.40 ;84.30 ;66.60 ;108.2 ;177.61 ;74.10;66.40 ;55.40 ;70.20 ;57.00 ;64.90 ;70.10
04/2020;493.21 ;-0.53 ;-0.25 ;77.40 ;26.40 ;53.60 ;60.60 ;110.3 ;172.37 ;67.10;54.90 ;47.20 ;66.00 ;48.00 ;40.50 ;65.40
05/2020;505.99 ;-0.25 ;-0.12 ;91.30 ;40.70 ;91.20 ;79.10 ;113.60 ;-;-;67.80 ;51.30 ;67.10 ;89.50 ;51.50 ;67.20
